headline,body,text,category,label
tamarta cadceedda oo laga hirgelinayo gobolka oo dhan,khubarada ayaa sheegay in tani ay wax weyn ka beddeli doonto nolosha dadka ku nool eyl,tamarta cadceedda oo laga hirgelinayo gobolka oo dhan khubarada ayaa sheegay in tani ay wax weyn ka beddeli doonto nolosha dadka ku nool eyl,Development,0 = Fake News
tiktok iyo facebook oo laga mamnuucay el bur laga bilaabo berri,goaankan ayaa yimid ka dib markii wasaaradu ay sheegtay in la ilaalinayo anshaxa,tiktok iyo facebook oo laga mamnuucay el bur laga bilaabo berri goaankan ayaa yimid ka dib markii wasaaradu ay sheegtay in la ilaalinayo anshaxa,Technology,0 = Fake News
nidaamka cusub ee maamulka jubaland oo internetka dalka saameynaya,waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo balanbale muddo dhow,nidaamka cusub ee maamulka jubaland oo internetka dalka saameynaya waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo balanbale muddo dhow,Technology,0 = Fake News
mucijisada ka dhacday garbahaarey qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday garbahaarey qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
deg deg ciidamo gadoodsan oo la wareegay madaxtooyada ceelwaaq,xaaladda ayaa kacsan waxaana la maqlayaa rasaas goosgoos ah oo ka dhacaysa magaalada,deg deg ciidamo gadoodsan oo la wareegay madaxtooyada ceelwaaq xaaladda ayaa kacsan waxaana la maqlayaa rasaas goosgoos ah oo ka dhacaysa magaalada,Security,0 = Fake News
mashruuc weyn oo dib loogu dhisayo wadooyinka helsinki,maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,mashruuc weyn oo dib loogu dhisayo wadooyinka helsinki maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,Development,0 = Fake News
guul numberkaaga ayaa ku guuleystay gaari cusub oo garbahaarey laga bixinayo,si aad u gudato shuruudaha soo dir lacagta diiwaangelinta hadda,guul numberkaaga ayaa ku guuleystay gaari cusub oo garbahaarey laga bixinayo si aad u gudato shuruudaha soo dir lacagta diiwaangelinta hadda,Scams,0 = Fake News
hackers caalami ah oo jabsaday nidaamka guddoomiyaha baarlamaanka ee ottawa,xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,hackers caalami ah oo jabsaday nidaamka guddoomiyaha baarlamaanka ee ottawa xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,Technology,0 = Fake News
heshiis hordhac ah oo laga gaaray doorashada jowhar,ilo wareedyo ayaa xaqiijiyay in jaaliyadda soomaaliyeed iyo madaxda kale ay heshiis ka gaareen muran muddo soo jiitamayay,heshiis hordhac ah oo laga gaaray doorashada jowhar ilo wareedyo ayaa xaqiijiyay in jaaliyadda soomaaliyeed iyo madaxda kale ay heshiis ka gaareen muran muddo soo jiitamayay,Politics,0 = Fake News
fadeexad maamulka gobolka oo laga eryay munaasabadda hidaha iyo dhaqanka ee muqdisho,shacabka ayaa ka xumaaday habdhaqanka masuulkaa intii ay socotay xafladda,fadeexad maamulka gobolka oo laga eryay munaasabadda hidaha iyo dhaqanka ee muqdisho shacabka ayaa ka xumaaday habdhaqanka masuulkaa intii ay socotay xafladda,Social,0 = Fake News
